as_of_date,ticker,contract_type,strike_price,expiration_date,VIX_close,close,imp_vol,delta,gamma,theta,vega,open,high,low,volume
2024-06-03,O:VIX240618P00039000,put,39.0,2024-06-18,13.109999656677246,,5.0,-0.714686231071241,0.025562088056391066,-53.44890775252697,0.00902755381752517,,,,
2024-06-03,O:VIX240618P00040000,put,40.0,2024-06-18,13.109999656677246,,5.0,-0.7231100243859716,0.025194675504106024,-52.61742497448393,0.008897797727894681,,,,
2024-06-03,O:VIX240618P00042500,put,42.5,2024-06-18,13.109999656677246,,5.0,-0.7427724222436967,0.02427457953609588,-50.53563004610252,0.00857285495130399,,,,
2024-06-03,O:VIX240618P00045000,put,45.0,2024-06-18,13.109999656677246,,5.0,-0.7606228313365431,0.023361220401088675,-48.468679843492474,0.00825029136699053,,,,
2024-06-03,O:VIX240618P00047500,put,47.5,2024-06-18,13.109999656677246,,5.0,-0.7768652174252615,0.02246306925081517,-46.43474889248587,0.007933098662408676,,,,
2024-06-03,O:VIX240618P00050000,put,50.0,2024-06-18,13.109999656677246,,5.0,-0.7916769610706136,0.02158608965883557,-44.44662445878772,0.007623382944115164,,,,
2024-06-03,O:VIX240618P00055000,put,55.0,2024-06-18,13.109999656677246,,5.0,-0.8176073509958258,0.019910582188501592,-40.63979064930282,0.007031657658342836,,,,
2024-06-03,O:VIX240618P00060000,put,60.0,2024-06-18,13.109999656677246,,5.0,-0.8394324226725915,0.018352545545061365,-37.086344793632584,0.006481418584864006,,,,
2024-06-03,O:VIX240618P00065000,put,65.0,2024-06-18,13.109999656677246,,5.0,-0.8579368950871222,0.016916740303425,-33.79636060650675,0.0059743469770296735,,,,
2024-06-03,O:VIX240618P00070000,put,70.0,2024-06-18,13.109999656677246,,5.0,-0.8737315796154889,0.015600760440518937,-30.764538347447452,0.005509593119326188,,,,
2024-06-03,O:VIX240618P00075000,put,75.0,2024-06-18,13.109999656677246,,5.0,-0.887296638797868,0.01439844922086628,-27.977541144543267,0.005084982687780674,,,,
2024-06-03,O:VIX240618P00080000,put,80.0,2024-06-18,13.109999656677246,,5.0,-0.8990130950097869,0.013301877066487937,-25.418241297952722,0.004697715258116415,,,,
2024-06-03,O:VIX240618P00085000,put,85.0,2024-06-18,13.109999656677246,,5.0,-0.9091859858296376,0.01230248117830045,-23.068165770064205,0.004344766776532173,,,,
